Ano;Codigo del Departamento;Nombre del Departamento;TECNICA PROFESIONAL;TECNOLOGICA;UNIVERSITARIA;ESPECIALIZACION;MAESTRIA;DOCTORADO
2005;11;BOGOTA D.C.;63098;40178;279544;23603;7399;492
2005;13;BOLIVAR;6692;4480;25267;1260;9;0
2005;15;BOYACA;2004;3545;26056;679;142;34
2005;17;CALDAS;1804;3205;21273;731;362;90
2005;18;CAQUETA;475;137;4485;92;0;0
2005;19;CAUCA;1581;2242;16031;370;72;0
2005;20;CESAR;839;394;12005;188;0;0
2005;23;CORDOBA;1138;876;14069;348;0;0
2005;25;CUNDINAMARCA;3803;5863;15899;835;0;0
2005;27;CHOCO;531;81;7015;72;0;0
2005;41;HUILA;2002;1011;12057;568;22;0
2005;44;LA GUAJIRA;964;369;5843;33;0;0
2005;47;MAGDALENA;2215;1066;11287;166;0;0
2005;5;ANTIOQUIA;8964;33654;111943;5664;1380;119
2005;50;META;1943;1027;9229;278;0;0
2005;52;NARIÑO;1867;2820;14148;522;0;10
2005;54;NORTE DE SANTANDER;1231;3759;33220;2091;82;0
2005;63;QUINDIO;2176;1681;9014;151;19;0
2005;66;RISARALDA;3385;3744;16091;489;350;0
2005;68;SANTANDER;5822;16924;42258;1976;329;42
2005;70;SUCRE;779;521;7306;91;0;0
2005;73;TOLIMA;3734;10016;17778;553;35;17
2005;76;VALLE DEL CAUCA;7472;14643;70542;2726;1479;164
2005;8;ATLANTICO;9434;5889;57439;2411;251;0
2005;81;ARAUCA;442;20;271;0;0;0
2005;85;CASANARE;778;277;1282;47;0;0
2005;86;PUTUMAYO;313;606;389;10;0;0
2005;88;SAN ANDRES Y PROVIDENCIA;451;0;2;14;10;0
2005;91;AMAZONAS;113;0;209;2;39;0
2005;94;GUAINIA;117;38;2;0;0;0
2005;95;GUAVIARE;235;37;69;0;0;0
2005;97;VAUPES;78;0;0;0;0;0
2005;99;VICHADA;53;9;104;0;0;0
2006;11;BOGOTA D.C.;67084;50468;306747;23660;7451;545
2006;13;BOLIVAR;5638;5149;25865;1242;37;0
2006;15;BOYACA;2582;2618;26136;506;201;24
2006;17;CALDAS;2108;3688;20599;1414;485;121
2006;18;CAQUETA;1000;63;5213;46;0;0
2006;19;CAUCA;2565;2564;15745;330;124;12
2006;20;CESAR;1732;546;12589;283;0;0
2006;23;CORDOBA;2454;1207;15781;1154;0;0
2006;25;CUNDINAMARCA;6536;6302;15094;969;168;0
2006;27;CHOCO;1012;183;7651;73;0;0
2006;41;HUILA;3390;802;11878;643;20;0
2006;44;LA GUAJIRA;1627;499;5699;49;0;0
2006;47;MAGDALENA;3980;816;11901;218;0;0
2006;5;ANTIOQUIA;15143;37005;114848;5615;1747;170
2006;50;META;3875;728;9235;379;9;0
2006;52;NARIÑO;2768;1976;14835;1052;31;10
2006;54;NORTE DE SANTANDER;2461;3552;29073;1713;164;0
2006;63;QUINDIO;3547;1685;10476;75;25;0
2006;66;RISARALDA;4959;3638;16788;489;337;0
2006;68;SANTANDER;5848;18124;41961;1977;425;49
2006;70;SUCRE;1352;537;7375;221;0;0
2006;73;TOLIMA;4083;10014;17947;519;18;0
2006;76;VALLE DEL CAUCA;9094;16569;70144;2736;1485;181
2006;8;ATLANTICO;12216;5833;56439;2088;333;10
2006;81;ARAUCA;480;131;449;0;0;0
2006;85;CASANARE;1463;109;1267;26;0;0
2006;86;PUTUMAYO;456;761;430;10;0;0
2006;88;SAN ANDRES Y PROVIDENCIA;722;60;0;2;14;0
2006;91;AMAZONAS;166;28;280;3;25;0
2006;94;GUAINIA;299;69;0;0;0;0
2006;95;GUAVIARE;485;111;223;0;0;0
2006;97;VAUPES;117;0;1;0;0;0
2006;99;VICHADA;144;27;51;0;0;0
2007;-;NO IDENTIFICADO;11;0;0;0;0;0
2007;11;BOGOTA D.C.;61383;43609;290200;17929;7615;647
2007;13;BOLIVAR;6853;6958;25000;859;32;6
2007;15;BOYACA;3912;3135;29185;1186;143;0
2007;17;CALDAS;3019;4172;21036;913;658;111
2007;18;CAQUETA;2040;339;6366;394;0;0
2007;19;CAUCA;4339;2743;17561;809;23;25
2007;20;CESAR;2172;937;14645;148;0;0
2007;23;CORDOBA;5166;1937;18493;242;0;0
2007;25;CUNDINAMARCA;11445;6059;18701;1483;235;0
2007;27;CHOCO;1429;304;8738;233;0;0
2007;41;HUILA;4286;1883;14868;1121;0;0
2007;44;LA GUAJIRA;2785;626;7972;150;0;0
2007;47;MAGDALENA;7200;1687;14172;153;35;0
2007;5;ANTIOQUIA;18656;44961;117213;5499;1936;315
2007;50;META;5669;1276;13142;484;0;0
2007;52;NARIÑO;3981;3032;17807;404;81;0
2007;54;NORTE DE SANTANDER;5133;4390;34450;1133;249;0
2007;63;QUINDIO;5412;2267;11248;237;0;0
2007;66;RISARALDA;4567;4746;19109;698;614;13
2007;68;SANTANDER;7379;20942;44642;1653;481;58
2007;70;SUCRE;1791;960;8530;49;0;0
2007;73;TOLIMA;5373;5580;19627;685;61;9
2007;76;VALLE DEL CAUCA;11335;18445;74211;2674;1781;231
2007;8;ATLANTICO;15800;4768;57813;1629;406;16
2007;81;ARAUCA;999;259;626;29;0;0
2007;85;CASANARE;1680;647;3347;153;0;0
2007;86;PUTUMAYO;526;925;459;24;0;0
2007;88;SAN ANDRES Y PROVIDENCIA;958;248;21;19;4;0
2007;91;AMAZONAS;238;107;123;5;39;0
2007;94;GUAINIA;550;106;7;0;0;0
2007;95;GUAVIARE;538;144;581;13;0;0
2007;97;VAUPES;200;23;118;0;0;0
2007;99;VICHADA;363;34;217;12;0;0
2008;11;BOGOTA D.C.;72772;49896;302426;20893;8349;690
2008;13;BOLIVAR;7350;9122;26432;710;37;0
2008;15;BOYACA;3904;4903;30658;1129;211;0
2008;17;CALDAS;2941;3429;21148;856;799;108
2008;18;CAQUETA;2940;394;6681;349;32;0
2008;19;CAUCA;3918;5074;18680;1061;99;8
2008;20;CESAR;2509;1843;16131;150;0;0
2008;23;CORDOBA;5013;1928;19411;265;0;0
2008;25;CUNDINAMARCA;13108;9593;21906;1530;302;0
2008;27;CHOCO;1624;545;8865;76;0;0
2008;41;HUILA;4315;3370;16272;673;0;0
2008;44;LA GUAJIRA;2865;2169;9603;142;0;0
2008;47;MAGDALENA;6762;2890;15569;549;78;0
2008;5;ANTIOQUIA;19534;55538;121286;6161;2338;406
2008;50;META;6177;2125;14561;478;9;0
2008;52;NARIÑO;3315;3466;19354;448;170;0
2008;54;NORTE DE SANTANDER;6005;4524;37768;601;109;0
2008;63;QUINDIO;6442;3596;13107;212;63;0
2008;66;RISARALDA;3619;7794;20693;766;606;29
2008;68;SANTANDER;7107;26480;50373;2514;612;55
2008;70;SUCRE;2668;1413;9575;491;0;0
2008;73;TOLIMA;6910;7703;20044;945;157;9
2008;76;VALLE DEL CAUCA;12069;20880;76682;2902;2043;220
2008;8;ATLANTICO;13929;6574;57694;2062;554;19
2008;81;ARAUCA;1231;460;1112;32;0;0
2008;85;CASANARE;1728;1077;5636;87;0;0
2008;86;PUTUMAYO;857;1445;617;83;0;0
2008;88;SAN ANDRES Y PROVIDENCIA;817;441;15;0;10;0
2008;91;AMAZONAS;219;185;94;33;46;0
2008;94;GUAINIA;396;370;7;0;0;0
2008;95;GUAVIARE;359;549;615;7;0;0
2008;97;VAUPES;179;43;14;0;0;0
2008;99;VICHADA;444;135;138;11;0;0
2009;-;NO IDENTIFICADO;0;0;45;0;0;0
2009;11;BOGOTA D.C.;59095;75624;319586;29493;9225;748
2009;13;BOLIVAR;5054;14979;30280;848;112;0
2009;15;BOYACA;2405;7851;31794;1581;346;28
2009;17;CALDAS;1757;6897;22346;1148;1182;127
2009;18;CAQUETA;2446;1049;7338;302;24;0
2009;19;CAUCA;2142;9378;18585;303;0;30
2009;20;CESAR;1252;3608;17517;166;0;0
2009;23;CORDOBA;3184;3126;20466;171;0;0
2009;25;CUNDINAMARCA;6375;16446;24153;1951;476;11
2009;27;CHOCO;464;1275;9786;67;0;0
2009;41;HUILA;2446;5565;17905;738;96;0
2009;44;LA GUAJIRA;1169;3415;10565;108;0;0
2009;47;MAGDALENA;3334;4557;16492;484;113;0
2009;5;ANTIOQUIA;12742;76359;129994;6847;2849;492
2009;50;META;2804;4068;14723;554;0;0
2009;52;NARIÑO;2371;5026;20320;481;140;1
2009;54;NORTE DE SANTANDER;2454;6179;38834;1820;136;0
2009;63;QUINDIO;4459;4945;13773;331;50;0
2009;66;RISARALDA;1676;7837;21941;598;685;28
2009;68;SANTANDER;4417;31024;49550;3195;603;48
2009;70;SUCRE;1591;1502;10212;870;0;0
2009;73;TOLIMA;4690;10704;17705;569;37;0
2009;76;VALLE DEL CAUCA;9424;29467;83425;2914;2715;249
2009;8;ATLANTICO;9342;8977;59416;1924;843;44
2009;81;ARAUCA;1107;627;1263;121;0;0
2009;85;CASANARE;738;1903;5875;51;0;0
2009;86;PUTUMAYO;487;2305;498;32;0;0
2009;88;SAN ANDRES Y PROVIDENCIA;651;757;39;0;5;0
2009;91;AMAZONAS;129;487;338;18;44;0
2009;94;GUAINIA;122;352;91;0;0;0
2009;95;GUAVIARE;154;698;512;6;0;0
2009;97;VAUPES;103;218;71;35;0;0
2009;99;VICHADA;57;536;170;8;0;0
2010;-;NO IDENTIFICADO;277;0;6;0;0;0
2010;11;BOGOTA D.C.;44862;101371;326124;31901;11508;1005
2010;13;BOLIVAR;2603;18802;31854;796;54;0
2010;15;BOYACA;747;11345;31352;1639;385;44
2010;17;CALDAS;809;9351;22650;1241;1480;158
2010;18;CAQUETA;882;1078;6729;102;23;0
2010;19;CAUCA;1587;12375;20176;533;119;41
2010;20;CESAR;376;4924;16067;123;0;0
2010;23;CORDOBA;1362;4210;21658;154;2;0
2010;25;CUNDINAMARCA;1555;25354;23986;1791;560;14
2010;27;CHOCO;20;1756;12641;38;58;0
2010;41;HUILA;956;7384;19313;730;116;0
2010;44;LA GUAJIRA;1059;4579;8474;222;7;0
2010;47;MAGDALENA;1636;5599;15815;744;117;0
2010;5;ANTIOQUIA;7400;94171;132554;7821;3322;611
2010;50;META;365;4540;15965;348;25;0
2010;52;NARIÑO;1067;7038;19500;403;199;3
2010;54;NORTE DE SANTANDER;1833;10628;40136;1115;269;0
2010;63;QUINDIO;2628;6849;15760;191;22;5
2010;66;RISARALDA;1444;11887;22159;870;870;53
2010;68;SANTANDER;3205;31929;55454;3180;974;78
2010;70;SUCRE;891;1941;11208;594;0;0
2010;73;TOLIMA;1967;12007;19985;363;84;0
2010;76;VALLE DEL CAUCA;6591;38179;83276;2786;2928;281
2010;8;ATLANTICO;5297;12083;63339;2322;690;33
2010;81;ARAUCA;535;1045;1430;58;0;0
2010;85;CASANARE;55;2298;5767;9;0;0
2010;86;PUTUMAYO;123;3160;623;3;0;0
2010;88;SAN ANDRES Y PROVIDENCIA;574;1139;32;0;7;0
2010;91;AMAZONAS;60;758;311;17;0;0
2010;94;GUAINIA;4;324;192;1;0;0
2010;95;GUAVIARE;113;930;403;18;0;0
2010;97;VAUPES;0;168;26;0;0;0
2010;99;VICHADA;58;484;168;3;0;0
2011;-;NO IDENTIFICADO;0;97;0;151;0;0
2011;11;BOGOTA D.C.;47183;120114;359741;30380;14210;1395
2011;13;BOLIVAR;3175;22931;36559;1424;49;11
2011;15;BOYACA;50;11332;35187;3776;670;28
2011;17;CALDAS;259;9841;24045;1154;2050;177
2011;18;CAQUETA;186;1280;8017;185;86;0
2011;19;CAUCA;438;12027;22285;793;208;80
2011;20;CESAR;187;5505;19398;298;0;0
2011;23;CORDOBA;846;4336;24274;758;126;0
2011;25;CUNDINAMARCA;321;21148;28099;2053;691;9
2011;27;CHOCO;0;1248;12213;219;34;0
2011;41;HUILA;425;7630;21668;740;117;0
2011;44;LA GUAJIRA;634;3821;8775;159;9;0
2011;47;MAGDALENA;2245;6586;21689;1064;115;0
2011;5;ANTIOQUIA;3327;107739;143741;9065;4176;696
2011;50;META;337;5440;18760;901;44;0
2011;52;NARIÑO;102;7426;25247;1285;298;10
2011;54;NORTE DE SANTANDER;916;12389;44644;1225;323;0
2011;63;QUINDIO;1171;6389;17634;408;129;4
2011;66;RISARALDA;844;10637;25701;1242;960;46
2011;68;SANTANDER;3137;39234;59313;14920;1124;66
2011;70;SUCRE;2455;2052;12783;944;1;0
2011;73;TOLIMA;3042;14463;23370;477;169;0
2011;76;VALLE DEL CAUCA;6723;43772;89649;3339;3744;348
2011;8;ATLANTICO;4075;16211;65541;3196;986;47
2011;81;ARAUCA;93;1211;2311;38;0;0
2011;85;CASANARE;64;2531;6631;50;0;0
2011;86;PUTUMAYO;0;3162;1178;92;0;0
2011;88;SAN ANDRES Y PROVIDENCIA;104;934;16;0;14;3
2011;91;AMAZONAS;0;665;307;27;27;0
2011;94;GUAINIA;4;360;173;24;0;0
2011;95;GUAVIARE;0;940;419;8;0;0
2011;97;VAUPES;0;211;19;0;0;0
2011;99;VICHADA;15;451;125;34;0;0
2012;-;NO IDENTIFICADO;0;139;65;0;0;0
2012;11;BOGOTA D.C.;46763;129516.5;381539.3;29105;15819;1538
2012;13;BOLIVAR;2380;24463;37443.7;1200.1;87;42
2012;15;BOYACA;130;12760;38049;4357;726;84
2012;17;CALDAS;532;10500;24870;1080;2117;124
2012;18;CAQUETA;128;1137;8108;174;132;0
2012;19;CAUCA;196;10298;21210;404;34;0
2012;20;CESAR;128;6095;20657;181;0;0
2012;23;CORDOBA;820;4551;27018;601;165;0
2012;25;CUNDINAMARCA;391;24208;30615;1763;722;13
2012;27;CHOCO;10;1454;11720;349;12;0
2012;41;HUILA;473;8174;23671;633;129;0
2012;44;LA GUAJIRA;275;4073;8623;254;53;0
2012;47;MAGDALENA;2664;7859;23329;692;120;1
2012;5;ANTIOQUIA;2622;102893;155416;8550;4185;787
2012;50;META;416;5506;20322;730;63;0
2012;52;NARIÑO;724;7450;26288;692;436;3
2012;54;NORTE DE SANTANDER;712;11527;41101;913;318;0
2012;63;QUINDIO;1471;7516;19152;387;120;0
2012;66;RISARALDA;911;10407;26818;1294;954;22
2012;68;SANTANDER;1701;38388;61730;20233;1382;65
2012;70;SUCRE;578;1680;13921;706;2;0
2012;73;TOLIMA;3190;14821;25510;299;105;0
2012;76;VALLE DEL CAUCA;6428;42196;90851;4042;3988;359
2012;8;ATLANTICO;4530;16286;69058;2455;1033;24
2012;81;ARAUCA;11;1532;2466;0;0;0
2012;85;CASANARE;195;2888;6915;27;4;0
2012;86;PUTUMAYO;8;2537;1334;36;0;0
2012;88;SAN ANDRES Y PROVIDENCIA;148;991;44;51;12;1
2012;91;AMAZONAS;0;642;231;13;27;0
2012;94;GUAINIA;0;345;190;7;0;0
2012;95;GUAVIARE;0;1330;397;32;0;0
2012;97;VAUPES;0;266;27;0;0;0
2012;99;VICHADA;20;700;127;19;0;0
2013;-;NO IDENTIFICADO;0;87;24;50;0;0
2013;11;BOGOTA D.C.;39971;150728;413636;30151;17636;1758
2013;13;BOLIVAR;1982;30590;38008;1740;359;55
2013;15;BOYACA;671;14276;38989;5883;1090;96
2013;17;CALDAS;918;12265;25395;1055;2601;154
2013;18;CAQUETA;171;1493;8152;232;124;0
2013;19;CAUCA;65;11470;24982;705;301;79
2013;20;CESAR;174;7580;21652;165;3;0
2013;23;CORDOBA;1450;6023;28824;560;62;0
2013;25;CUNDINAMARCA;1215;29408;32971;1649;687;20
2013;27;CHOCO;151;1234;11548;114;56;0
2013;41;HUILA;717;10158;23338;892;104;0
2013;44;LA GUAJIRA;1012;3652;8995;80;45;0
2013;47;MAGDALENA;3459;7706;25149;672;74;1
2013;5;ANTIOQUIA;4269;111224;164092;9051;4862;967
2013;50;META;762;5387;23023;844;90;0
2013;52;NARIÑO;513;7126;28128;799;435;34
2013;54;NORTE DE SANTANDER;1124;12486;45342;1240;529;0
